,01 vs 02,01 vs 18,04 vs 18,00 vs 02,04 vs 08,08 vs 18,01 vs 08,02 vs 18,02 vs 04,00 vs 01,00 vs 08,02 vs 08,01 vs 04,00 vs 18,00 vs 04
MT-ND1,-0.090960935,0.2534713,0.6582128,-0.25739136,-0.017699646,0.6827857,-0.42553398,0.358232,-0.29862857,-0.15286668,-0.6015334,-0.31467226,-0.4053446,0.099614486,-0.54997563
MTMR6,0.032118745,-0.2892096,-0.24401784,-0.017366143,-0.09513295,-0.13273044,-0.13762864,-0.29578283,-0.065909706,-0.040988144,-0.1647984,-0.15755185,-0.033307757,-0.31626463,-0.074347
DTX4,0.36287498,0.17041206,-0.34609085,0.57648253,-0.17300536,-0.1291496,0.33865806,-0.18120943,0.13808368,0.22571027,0.5653212,-0.016070912,0.49175194,0.42998588,0.7406892
AC124016.1,-0.25967547,-0.29037642,-0.16960831,-0.018536158,-0.09380134,-0.079058364,-0.20866543,-0.039869722,0.13854451,0.23330376,0.020928714,0.064328834,-0.08974381,-0.06597026,0.1148272
ITGA2,0.18139774,0.7722607,0.53185856,0.042186268,0.33518064,0.20712739,0.5794204,0.6408314,0.07839566,-0.13796283,0.4642412,0.40583885,0.2359228,0.6570251,0.13784914
CPNE8,0.5712048,1.8677554,0.8484709,1.0890065,0.4883038,0.41113243,1.4787189,1.3317748,0.45385128,0.5393264,2.0255,0.9315371,0.9907658,2.4273837,1.5829246
ZBTB10,-0.07274948,-0.2867749,0.041772712,-0.44449326,0.02559284,0.033971615,-0.32965225,-0.20376544,-0.26534772,-0.3753463,-0.67959046,-0.2448938,-0.3586687,-0.66302186,-0.6981369
COL7A1,0.13872905,-0.3181103,-0.30934474,0.17808752,-0.1289551,-0.18678483,-0.1810057,-0.46787882,-0.15331744,0.06414093,-0.096154645,-0.27777362,-0.022073772,-0.27416772,0.034918517
MAF,-0.005195214,-0.64591414,-0.26926282,-0.54348135,-0.27959335,0.120070934,-0.6956263,-0.58672136,-0.3803984,-0.54525054,-1.2203248,-0.64652866,-0.42851016,-1.1442766,-0.9278293
SRGAP2,-0.08420421,-0.3052371,-0.08411688,-0.36676177,-0.07480639,-0.0069599077,-0.3044635,-0.22110923,-0.13122745,-0.28435937,-0.56765133,-0.20479725,-0.21835141,-0.58091116,-0.4968082
DLGAP5,-0.04206893,0.26543346,0.15488687,0.082369275,0.12250798,0.0054019904,0.21381465,0.24887368,0.12977834,0.14211677,0.3715985,0.23021567,0.14986059,0.42603895,0.23407805
TUBB2B,0.15057705,0.32100382,0.19431789,0.18379778,0.16121922,0.027770441,0.22258684,0.10172884,-0.06576347,0.040448856,0.30335602,0.081232175,0.096108414,0.39218733,0.15692456
SHROOM3,-0.14234509,-0.613603,-0.22432347,-0.51854986,-0.13077956,-0.083466925,-0.52392966,-0.4589313,-0.25175416,-0.38862664,-0.8882537,-0.37163174,-0.39968082,-0.9840329,-0.7656378
NEDD4,-0.07446361,-0.6607853,-0.41151065,-0.31479034,-0.17000972,-0.24036638,-0.43131787,-0.57198757,-0.17699732,-0.24888453,-0.64006096,-0.3345748,-0.2518684,-0.91117334,-0.4857872
