,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
B9D2,0.5726,0.4274,0.29246704384588007,0.00010468196,0.00010576424,0.0,0.25,-0.009921568,-0.009640217,0.43900242,-1.4796171,1.3215017,0.120196044,0.13237841,0.3375,0.37,1.1477462,1.2579716,False,18 vs 08,18,08
AGR2,0.5724,0.4276,0.2916498626153641,0.002984553,0.003237175,0.0,0.25,-0.12012222,-0.109695435,0.42537355,-1.6127558,1.3080616,2.6175504,2.8617415,0.9975,0.995,24.963455,27.001797,False,18 vs 08,18,08
RRN3,0.572,0.42800000000000005,0.2900157899160326,0.00042981992,0.00044554763,0.0,0.25,-0.053010277,-0.06443596,0.4668556,-1.8478022,1.5377569,0.5289644,0.572472,0.84,0.8225,4.9322777,5.2570643,False,18 vs 08,18,08
KIAA1324,0.5718,0.4282,0.2891988978676885,0.00049774745,0.00049115164,0.0,0.25,0.018777557,0.01787138,0.43038774,-1.5722914,1.4375839,0.5370109,0.61771667,0.8325,0.86,5.0527153,5.803692,False,18 vs 08,18,08
PACSIN2,0.5716,0.4284,0.2883821016342001,0.0004655275,0.0004468056,0.0,0.25,0.06605021,0.055142403,0.46379748,-1.7053499,1.6500206,0.41087925,0.4429657,0.755,0.7775,3.8182693,4.0779133,False,18 vs 08,18,08
CARHSP1,0.5714,0.4286,0.28756540092629357,0.00076767063,0.0007115752,0.0,0.25,0.11519927,0.10796642,0.46015534,-1.5144081,1.6697721,0.78642863,0.5736908,0.925,0.845,7.3940263,5.3251357,False,18 vs 08,18,08
SLBP,0.5708,0.4292,0.285115869066248,0.00083242817,0.00081408425,0.0,0.25,0.03598435,0.031301975,0.46661142,-1.7831354,1.515872,0.85764205,0.84408486,0.9375,0.9125,8.000255,7.7611103,False,18 vs 08,18,08
PTPRU,0.5708,0.4292,0.285115869066248,0.00017207944,0.00015852254,0.0,0.25,0.12737788,0.12803888,0.49577066,-1.6486816,1.9830685,0.16100538,0.1442877,0.42,0.4025,1.5194724,1.3162781,False,18 vs 08,18,08
APLP1,0.5704,0.4296,0.28348332015952094,0.00040204215,0.0003921181,0.0,0.25,0.041533913,0.021271706,0.4647184,-1.3426828,1.7170382,0.28333533,0.32095078,0.625,0.6475,2.662404,2.9834723,False,18 vs 08,18,08
CEP290,0.5704,0.4296,0.28348332015952094,8.742823e-05,9.2168e-05,0.0,0.25,-0.079048485,-0.086444855,0.42649925,-1.4813652,1.4646807,0.09918216,0.10688097,0.285,0.3,0.9231869,0.9954733,False,18 vs 08,18,08
IFT140,0.5704,0.4296,0.28348332015952094,0.00012439076,0.00011125792,0.0,0.25,0.16637303,0.16895676,0.42841116,-1.7596445,1.6145782,0.1156143,0.10883479,0.3375,0.3075,1.0953872,1.0414537,False,18 vs 08,18,08
TRIM8,0.5702,0.42979999999999996,0.28266718654123235,0.0004368384,0.00040560847,0.0,0.25,0.11100867,0.11571169,0.41667876,-1.2158155,1.4636059,0.47352952,0.39461958,0.7825,0.7175,4.4010363,3.6689057,False,18 vs 08,18,08
USP54,0.57,0.43000000000000005,0.2818511464290334,0.00015646493,0.00015861445,0.0,0.25,-0.022693394,-0.033240795,0.4863958,-1.7924786,1.9209032,0.16907187,0.19305474,0.4375,0.5075,1.5557377,1.7576544,False,18 vs 08,18,08
SUSD6,0.5698,0.4302,0.2810351995351935,0.0001703996,0.00016167288,0.0,0.25,0.08738828,0.08004713,0.44641873,-1.5068579,1.728096,0.17586987,0.1791873,0.4175,0.4625,1.6245253,1.6346072,False,18 vs 08,18,08
USP10,0.5698,0.4302,0.2810351995351935,0.0007077114,0.0007067099,0.0,0.25,0.0045967284,0.0052137375,0.42730284,-1.4089317,1.634697,0.86267364,0.8062932,0.94,0.92,8.038977,7.420997,False,18 vs 08,18,08
CRKL,0.5696,0.4304,0.28021934557217065,0.00037123097,0.00035914997,0.0,0.25,0.04713281,0.04982853,0.4392684,-1.4304266,1.569438,0.43828613,0.42257348,0.7525,0.775,4.0804615,3.8920586,False,18 vs 08,18,08
SAPCD2,0.5692,0.43079999999999996,0.2785879152893538,0.00068186066,0.00067740853,0.0,0.25,0.013519753,0.020630836,0.4417214,-1.5913372,1.5782375,0.806298,0.7864132,0.9025,0.8975,7.494716,7.2534957,False,18 vs 08,18,08
ZNF703,0.5692,0.43079999999999996,0.2785879152893538,0.0008455824,0.00090084533,0.0,0.25,-0.08907749,-0.0970664,0.4296828,-1.6151752,1.5435133,1.0710429,1.0286354,0.9525,0.955,10.071733,9.585621,False,18 vs 08,18,08
ARMCX3,0.569,0.43100000000000005,0.2777723383954195,0.0002686692,0.00026124736,0.0,0.25,0.046273243,0.037359238,0.43610373,-1.7155418,1.5076704,0.35554418,0.37348384,0.6775,0.7225,3.2935429,3.4675918,False,18 vs 08,18,08
EFNA1,0.5688,0.4312,0.2769568532840212,0.0003361957,0.00029403123,0.0,0.25,0.19560261,0.19510078,0.38547567,-1.1993256,1.4216194,0.41443363,0.36446568,0.7975,0.705,3.9027662,3.3997233,False,18 vs 08,18,08
PLEKHF2,0.5684,0.4316,0.275326157262609,0.00034420015,0.00039147135,0.0,0.25,-0.18615483,-0.18802118,0.39903942,-1.903677,1.3499451,0.49025285,0.5032772,0.795,0.82,4.5559883,4.6105485,False,18 vs 08,18,08
CTDP1,0.5682,0.43179999999999996,0.27451094577994795,7.4204974e-05,7.325899e-05,0.0,0.25,0.017528305,0.011750221,0.43328515,-2.0207329,1.4940548,0.07745577,0.09418059,0.245,0.2775,0.71579885,0.85178566,False,18 vs 08,18,08
RHOBTB1,0.5674,0.4326,0.2712510033640013,8.855468e-05,9.422956e-05,0.0,0.25,-0.09041882,-0.10669136,0.440274,-1.4895191,1.8759298,0.13660413,0.14976892,0.3675,0.3875,1.2603205,1.3778844,False,18 vs 08,18,08
BTG1,0.5674,0.4326,0.2712510033640013,0.0009809519,0.001014687,0.0,0.25,-0.03964188,-0.03554392,0.4373379,-1.6396923,1.4606428,1.0492538,1.108547,0.95,0.95,9.845061,10.219156,False,18 vs 08,18,08
RBM24,0.567,0.43300000000000005,0.2696215702672583,0.00052885717,0.00061774394,0.0,0.25,-0.22057602,-0.21229506,0.39232412,-1.9129667,1.2267265,0.6527484,0.7908461,0.8975,0.9225,6.078024,7.287715,False,18 vs 08,18,08
CLDN15,0.5668,0.43320000000000003,0.26880698724857155,5.8886384e-05,6.79831e-05,0.0,0.25,-0.20558725,-0.20891714,0.37840882,-1.6146431,1.1873388,0.08752986,0.06418585,0.24,0.2,0.8283809,0.5925381,False,18 vs 08,18,08
ALDH3B2,0.5662,0.43379999999999996,0.2663637688945315,0.0012941611,0.0011380464,0.0,0.25,0.18503457,0.18631649,0.38860068,-1.1743813,1.5361567,1.3545417,1.2842796,0.9675,0.95,12.744532,11.985939,False,18 vs 08,18,08
ACTN1,0.566,0.43400000000000005,0.265549538729148,0.0010310241,0.0008991038,0.0,0.25,0.19450785,0.18627882,0.41362387,-1.3525372,1.9280748,1.140469,0.862448,0.9825,0.94,10.630406,7.9629765,False,18 vs 08,18,08
MYL9,0.5658,0.43420000000000003,0.26473539606650387,0.00096603506,0.0010556481,0.0,0.25,-0.128481,-0.123954296,0.42027584,-1.6685839,1.3625231,0.8279059,0.91021556,0.94,0.9475,7.9073305,8.564983,False,18 vs 08,18,08
MAPK8IP1,0.5652,0.43479999999999996,0.26229349025709037,0.00013621151,0.00013113902,0.0,0.25,0.05324129,0.044457912,0.4460635,-1.8632202,2.2949781,0.10978291,0.120806545,0.305,0.3275,1.0233428,1.1162884,False,18 vs 08,18,08
D2HGDH,0.5648,0.43520000000000003,0.2606659853647407,4.0462513e-05,4.0739735e-05,0.0,0.25,-0.00251861,-0.017478943,0.4365902,-1.5638266,1.6479902,0.044479977,0.04724414,0.1425,0.15,0.41354474,0.4390127,False,18 vs 08,18,08
ERBB2,0.5626,0.4374,0.2517207827253385,0.0005727752,0.00048768034,0.0,0.25,0.23211138,0.2372036,0.3303074,-1.0469208,1.2566748,0.5707773,0.5691654,0.8425,0.8675,5.3274407,5.3476133,False,18 vs 08,18,08
PIK3R1,0.5626,0.4374,0.2517207827253385,0.0008289623,0.00088093884,0.0,0.25,-0.08265209,-0.0829792,0.47071236,-1.750721,1.3247824,0.7948813,0.9710104,0.8975,0.9375,7.420285,9.001525,False,18 vs 08,18,08
TUBA1C,0.5624,0.4376,0.2509080843177033,0.0019385233,0.0019258766,0.0,0.25,0.016286861,0.015258312,0.4375908,-1.4001608,1.6092415,2.1614707,1.9901667,0.9975,0.995,20.514694,18.663992,False,18 vs 08,18,08
GNB4,0.5624,0.4376,0.2509080843177033,0.00059707236,0.0006047333,0.0,0.25,-0.024583517,-0.025834084,0.46707213,-2.0232449,2.13447,0.7461608,0.6919105,0.91,0.875,6.9077625,6.31994,False,18 vs 08,18,08
PISD,0.562,0.43799999999999994,0.24928293447978944,0.0003889528,0.0003921302,0.0,0.25,-0.00781335,0.0028710365,0.4258013,-1.4618616,1.3289089,0.4812829,0.5347831,0.7925,0.8275,4.5402594,5.0001545,False,18 vs 08,18,08
CCND3,0.5618,0.43820000000000003,0.24847048248807613,0.0007917587,0.00071241125,0.0,0.25,0.15068705,0.15647602,0.39394733,-1.3784962,1.5409241,0.89158297,0.75345856,0.9425,0.9075,8.44461,7.004732,False,18 vs 08,18,08
PNMA1,0.561,0.43899999999999995,0.24522148749379402,0.00070870185,0.00068369583,0.0,0.25,0.059241798,0.056930542,0.43739057,-1.3899565,1.61829,0.58578664,0.5624245,0.8575,0.8575,5.480452,5.1929083,False,18 vs 08,18,08
ATP6V1A,0.5608,0.43920000000000003,0.24440944058805825,0.0007459789,0.00073737954,0.0,0.25,0.0143231265,0.0038990974,0.43181938,-1.4650908,1.4431181,0.90001035,0.8581344,0.9325,0.935,8.309319,7.8580837,False,18 vs 08,18,08
BRI3BP,0.5608,0.43920000000000003,0.24440944058805825,0.0010025927,0.0009984114,0.0,0.25,0.0022500518,-0.0070648193,0.44612733,-1.7332726,1.9307032,0.99298286,0.9228431,0.945,0.935,9.160502,8.379184,False,18 vs 08,18,08
WAC,0.5606,0.4394,0.24359747385990205,0.0006012951,0.00062385906,0.0,0.25,-0.055712212,-0.064432144,0.41102186,-1.3892574,1.5626211,0.80756295,0.87881714,0.91,0.935,7.406088,8.026746,False,18 vs 08,18,08
ZFP36L1,0.5606,0.4394,0.24359747385990205,0.0005527443,0.0005871049,0.0,0.25,-0.08667479,-0.09097576,0.44360825,-1.5038414,1.399683,0.65370995,0.69459295,0.86,0.89,5.9868913,6.37917,False,18 vs 08,18,08
VPS9D1,0.5606,0.4394,0.24359747385990205,3.4650937e-05,3.2640568e-05,0.0,0.25,0.08205673,0.0834527,0.44210476,-1.723319,1.6231337,0.061010327,0.05785017,0.1875,0.185,0.57123554,0.55941576,False,18 vs 08,18,08
NDC1,0.56,0.43999999999999995,0.24116205194675855,0.00047267255,0.00048455037,0.0,0.25,-0.040092938,-0.03297329,0.43869352,-1.5849514,1.96978,0.50785166,0.5033912,0.8225,0.8025,4.715656,4.609449,False,18 vs 08,18,08
CLK3,0.5594,0.4406,0.23872734157958964,0.00013060766,0.00013814184,0.0,0.25,-0.07440691,-0.066146374,0.46194497,-1.746479,1.5965862,0.16736035,0.18724842,0.46,0.4675,1.6134348,1.7250469,False,18 vs 08,18,08
PPP1R21,0.5586,0.4414,0.23548215493515,7.472748e-05,7.803813e-05,0.0,0.25,-0.07109576,-0.06982803,0.4302418,-1.6731176,1.5898085,0.10182939,0.09702815,0.29,0.285,0.93858343,0.8987619,False,18 vs 08,18,08
ULK1,0.5582,0.44179999999999997,0.23386002539625483,0.0002917159,0.00027630004,0.0,0.25,0.08023809,0.078923225,0.4240989,-1.6830454,1.7368679,0.2684825,0.30170435,0.5925,0.6375,2.5345414,2.768078,False,18 vs 08,18,08
TUFT1,0.558,0.44199999999999995,0.23304907560032584,0.00021235488,0.0002052669,0.0,0.25,0.050237086,0.045268536,0.4344567,-1.7746649,1.6957808,0.27822328,0.28018504,0.6175,0.62,2.586565,2.5564358,False,18 vs 08,18,08
AAED1,0.5572,0.44279999999999997,0.22980603643448716,9.239744e-05,8.4065185e-05,0.0,0.25,0.13800395,0.14172316,0.39241964,-1.3044825,1.7622147,0.14453048,0.12468797,0.4025,0.3525,1.3391995,1.1426777,False,18 vs 08,18,08
LTBP4,0.5568,0.44320000000000004,0.2281849689837291,0.00014486596,0.00014668924,0.0,0.25,-0.015493842,-0.022180557,0.42162243,-1.3416996,1.6700048,0.12798782,0.14806354,0.345,0.375,1.2178259,1.389292,False,18 vs 08,18,08
RABGAP1,0.5568,0.44320000000000004,0.2281849689837291,0.00036534667,0.00038212174,0.0,0.25,-0.069545805,-0.07097721,0.40860394,-1.3545618,1.2281332,0.38890675,0.43961057,0.74,0.7675,3.5894363,4.0143657,False,18 vs 08,18,08
C7orf43,0.5564,0.4436,0.2265642000029262,5.917677e-05,5.4229808e-05,0.0,0.25,0.12925468,0.1257739,0.4259456,-1.3761787,1.8332167,0.06868153,0.054859318,0.2075,0.175,0.65686053,0.50604504,False,18 vs 08,18,08
MIDN,0.5564,0.4436,0.2265642000029262,0.00035959273,0.00030964945,0.0,0.25,0.21745025,0.21541405,0.35914665,-1.1570778,1.5244865,0.36155564,0.3939412,0.71,0.725,3.371245,3.6590757,False,18 vs 08,18,08
CD55,0.5564,0.4436,0.2265642000029262,0.00057154486,0.00051284936,0.0,0.25,0.15534666,0.16484594,0.38495648,-1.1526861,1.3436718,0.652422,0.5171986,0.8875,0.825,6.126228,4.8538265,False,18 vs 08,18,08
GRB10,0.5562,0.4438,0.22575392674784311,0.0005447494,0.00056143844,0.0,0.25,-0.048781555,-0.05085039,0.42616215,-1.6434822,1.6398973,0.48641765,0.6341957,0.8075,0.8775,4.4736295,5.8031397,False,18 vs 08,18,08
RIOK3,0.556,0.44399999999999995,0.22494372728144696,0.00027130084,0.00025463416,0.0,0.25,0.087790094,0.07713604,0.4318935,-1.6341972,1.7859907,0.33659512,0.29627717,0.675,0.6225,3.110158,2.7283812,False,18 vs 08,18,08
WDR26,0.5554,0.4446,0.22251356885551687,0.00067534926,0.00069462083,0.0,0.25,-0.03656365,-0.036990643,0.45099136,-1.8112383,1.8440542,0.9541866,0.95118326,0.9575,0.935,8.882922,8.767828,False,18 vs 08,18,08
SLC37A1,0.5546,0.4454,0.2192743739376951,6.586335e-05,6.527752e-05,0.0,0.25,0.011037943,0.011926651,0.42501542,-1.4352055,1.7656136,0.10791748,0.08680927,0.3,0.255,1.0169499,0.79980767,False,18 vs 08,18,08
PARD6B,0.5544,0.4456,0.21846475485848582,0.00092823524,0.0009021758,0.0,0.25,0.039134853,0.038208008,0.43926752,-1.6427526,1.5788841,0.9491893,0.9729242,0.9475,0.9425,8.768175,8.90106,False,18 vs 08,18,08
MORF4L2,0.5542,0.4458,0.21765520708955355,0.0012711025,0.0011869719,0.0,0.25,0.100957915,0.106667995,0.3948183,-1.1669693,1.2221441,1.2899264,1.2034153,0.9825,0.9825,12.117496,11.162359,False,18 vs 08,18,08
CBX4,0.5538,0.44620000000000004,0.216036324384015,0.00036246143,0.00033250026,0.0,0.25,0.13088273,0.13312769,0.39748424,-1.4431324,1.4702749,0.32858902,0.3563918,0.6575,0.6775,3.0798948,3.2899334,False,18 vs 08,18,08
TMEM45B,0.5538,0.44620000000000004,0.216036324384015,0.000106494736,0.000115628674,0.0,0.25,-0.120797314,-0.12169361,0.41011393,-1.7156954,1.6923103,0.12939554,0.1488039,0.3475,0.3875,1.2158959,1.3986849,False,18 vs 08,18,08
SFT2D3,0.5528,0.44720000000000004,0.21199034634093616,0.00015461657,0.00015629697,0.0,0.25,-0.018633602,-0.015058517,0.41591275,-1.865511,1.2214642,0.15501878,0.18056713,0.4225,0.455,1.5015286,1.702807,False,18 vs 08,18,08
HMGCS1,0.5528,0.44720000000000004,0.21199034634093616,0.0005114176,0.00049221097,0.0,0.25,0.05812109,0.050610065,0.4157802,-1.5160646,1.6355133,0.74743134,0.61630964,0.9025,0.8525,6.98656,5.659758,False,18 vs 08,18,08
IVNS1ABP,0.552,0.44799999999999995,0.20875480965662396,0.0006960568,0.0006977198,0.0,0.25,0.00081748446,-0.0035834312,0.419787,-1.4164906,1.4751577,0.4945545,0.59068155,0.81,0.855,4.571252,5.3956547,False,18 vs 08,18,08
AHCYL1,0.552,0.44799999999999995,0.20875480965662396,0.0010446172,0.0010315118,0.0,0.25,0.022889646,0.01784134,0.43082148,-1.3831882,1.4106865,1.1400373,1.1459333,0.9725,0.9725,10.574074,10.509107,False,18 vs 08,18,08
RDH11,0.5512,0.4488,0.20552036135155782,0.00054099143,0.00053904176,0.0,0.25,0.004097771,-0.0030508041,0.41884768,-1.2787781,1.3879261,0.6016112,0.5777315,0.87,0.84,5.567555,5.3033338,False,18 vs 08,18,08
WWC1,0.551,0.44899999999999995,0.20471191728776605,0.0005648256,0.00048856775,0.0,0.25,0.21445644,0.21448612,0.35031635,-1.0247002,1.4133387,0.54413104,0.42616004,0.8425,0.7325,5.099958,3.950385,False,18 vs 08,18,08
WWP1,0.551,0.44899999999999995,0.20471191728776605,0.00024875702,0.00025968047,0.0,0.25,-0.067709796,-0.0652976,0.4335938,-1.4970379,1.6688347,0.3548858,0.34073466,0.705,0.6975,3.3095918,3.1450624,False,18 vs 08,18,08
MLXIPL,0.5508,0.44920000000000004,0.20390353988382326,0.00010937066,0.000112200796,0.0,0.25,-0.03740833,-0.03763771,0.43574953,-1.56427,1.6415987,0.09161169,0.09778271,0.2675,0.2875,0.86837125,0.90183103,False,18 vs 08,18,08
APEX2,0.5506,0.4494,0.20309522886739195,0.0005536844,0.00054836384,0.0,0.25,0.015578095,0.013551712,0.4164364,-1.5660505,1.6536827,0.46151784,0.4655774,0.7875,0.78,4.3686447,4.3372655,False,18 vs 08,18,08
ZC3H13,0.5504,0.4496,0.20228698396626454,0.00022674484,0.00021180286,0.0,0.25,0.098011926,0.08379507,0.41057748,-1.5424776,1.8354626,0.31781623,0.29057968,0.6625,0.625,2.9302654,2.658796,False,18 vs 08,18,08
KREMEN2,0.5502,0.4498,0.201478804908365,0.00029109107,0.00030185896,0.0,0.25,-0.059272412,-0.064049244,0.43035877,-1.548356,1.5488329,0.27305257,0.3060742,0.6025,0.6275,2.6127362,2.8672342,False,18 vs 08,18,08
MAP3K1,0.5498,0.45020000000000004,0.19986264323459557,0.0005174882,0.0005203128,0.0,0.25,-0.010023255,-0.008990765,0.432973,-1.9954729,1.4138489,0.6617586,0.65636206,0.84,0.8525,6.079015,5.9838495,False,18 vs 08,18,08
UBQLN2,0.5498,0.45020000000000004,0.19986264323459557,0.00053296244,0.00049453956,0.0,0.25,0.11096587,0.1153965,0.39877564,-1.1659508,1.312006,0.47493458,0.48770022,0.785,0.8175,4.378726,4.4927626,False,18 vs 08,18,08
PPP4R3A,0.5492,0.4508,0.19743888775371188,0.00064237916,0.00065082865,0.0,0.25,-0.028236218,-0.038222313,0.44915125,-1.7582788,1.8529167,0.53031534,0.57613415,0.815,0.82,4.8596754,5.2400904,False,18 vs 08,18,08
PHGDH,0.5488,0.45120000000000005,0.1958233722862801,0.0007554224,0.00078191445,0.0,0.25,-0.051451176,-0.044030666,0.42420182,-1.4060793,1.3459768,0.60396904,0.70162916,0.865,0.89,5.7605324,6.626201,False,18 vs 08,18,08
HLA-C,0.5484,0.4516,0.19420811150402784,0.00040918845,0.00045827698,0.0,0.25,-0.1650196,-0.1621604,0.3752871,-1.672677,1.1935434,0.40171954,0.49155372,0.7475,0.82,3.8149843,4.619209,False,18 vs 08,18,08
ITGB5,0.5482,0.4518,0.19340057594261295,0.00047892876,0.000498569,0.0,0.25,-0.056200903,-0.0656271,0.40853247,-1.551094,1.3968344,0.39942497,0.4488156,0.7325,0.78,3.7369163,4.1667433,False,18 vs 08,18,08
CITED4,0.548,0.45199999999999996,0.19259310324006607,0.000577317,0.00058267853,0.0,0.25,-0.0142689515,-0.007881641,0.42443022,-1.5702744,1.5141573,0.5196617,0.50598484,0.825,0.79,4.997591,4.8072286,False,18 vs 08,18,08
EHMT1,0.548,0.45199999999999996,0.19259310324006607,0.00030003008,0.00032422395,0.0,0.25,-0.11218774,-0.12654972,0.3890159,-1.3424644,1.4482307,0.27274477,0.34988204,0.625,0.7075,2.5303288,3.2319348,False,18 vs 08,18,08
MAGED2,0.5474,0.4526,0.19017105958075398,0.0014076779,0.001421172,0.0,0.25,-0.014396991,-0.01036787,0.4304429,-1.5203562,1.5767088,1.0840425,1.1783414,0.9725,0.985,10.43518,11.159992,False,18 vs 08,18,08
STK24,0.5474,0.4526,0.19017105958075398,0.00078076817,0.00078490726,0.0,0.25,-0.00902857,-0.0178051,0.42857873,-1.3891096,1.796814,0.6396164,0.70476156,0.8725,0.8925,5.905043,6.450701,False,18 vs 08,18,08
PRCP,0.5472,0.4528,0.18936383560941594,0.00035678293,0.00037650682,0.0,0.25,-0.07510178,-0.0734272,0.39802608,-1.379406,1.1672621,0.3114736,0.35787627,0.6575,0.7075,2.922518,3.3552167,False,18 vs 08,18,08
CLPTM1L,0.5472,0.4528,0.18936383560941594,0.0024202138,0.0024879945,0.0,0.25,-0.039471142,-0.046265125,0.41656178,-1.590867,1.6189933,1.7990477,1.9623615,0.9975,1.0,16.954405,18.340061,False,18 vs 08,18,08
TSNAX,0.5472,0.4528,0.18936383560941594,0.00063999346,0.0006579516,0.0,0.25,-0.0373461,-0.04319191,0.40615404,-1.2429218,1.2601652,0.7094132,0.70733815,0.9125,0.92,6.604596,6.5078797,False,18 vs 08,18,08
RAB11FIP3,0.547,0.45299999999999996,0.188556673145428,0.00013231476,0.00013204593,0.0,0.25,0.005152769,0.0074648857,0.4202402,-1.8675642,1.3928461,0.11375484,0.1410542,0.3275,0.36,1.066805,1.3051,False,18 vs 08,18,08
UBE4A,0.5468,0.45320000000000005,0.18774957191885222,0.00037298354,0.00038712737,0.0,0.25,-0.05745487,-0.052272797,0.45859212,-2.2316084,1.7472057,0.46036065,0.45374584,0.7875,0.7875,4.2487397,4.1504006,False,18 vs 08,18,08
UBE2L6,0.5466,0.4534,0.18694253165987307,0.00043161694,0.00046802268,0.0,0.25,-0.11594192,-0.11142731,0.4030195,-1.5113783,1.4030161,0.32337654,0.35291386,0.6425,0.6675,3.0700533,3.312663,False,18 vs 08,18,08
MSMO1,0.5462,0.4538,0.1853286329660362,0.00045160713,0.00040706038,0.0,0.25,0.15254115,0.15703583,0.36694533,-1.308095,1.4708023,0.55446607,0.46944582,0.835,0.78,5.224551,4.3288198,False,18 vs 08,18,08
KREMEN1,0.545,0.45499999999999996,0.18048837208289592,0.00013075535,0.00013210883,0.0,0.25,-0.013177516,-0.02345419,0.41322026,-1.3233452,1.4838238,0.12334448,0.13845524,0.3425,0.37,1.1580538,1.282468,False,18 vs 08,18,08
KHNYN,0.545,0.45499999999999996,0.18048837208289592,9.066299e-05,8.2298575e-05,0.0,0.25,0.13552871,0.13996363,0.38710886,-1.3285141,1.3028584,0.08932949,0.08792434,0.2675,0.255,0.83989424,0.8081884,False,18 vs 08,18,08
MPHOSPH8,0.5446,0.4554,0.17887542301340298,0.00016355536,0.00015698468,0.0,0.25,0.06386191,0.056172848,0.39992148,-1.184701,1.5673656,0.16726352,0.16346647,0.4275,0.4525,1.5500801,1.5051998,False,18 vs 08,18,08
CLK2,0.5442,0.4558,0.1772627059737124,0.0003993644,0.0004418065,0.0,0.25,-0.14888053,-0.14757204,0.38498208,-1.4751225,1.2800856,0.30047438,0.33738258,0.6325,0.67,2.7867744,3.1100106,False,18 vs 08,18,08
ZFP36,0.544,0.45599999999999996,0.17645643379408527,0.00042524762,0.0004808477,0.0,0.25,-0.17436904,-0.16769409,0.3727013,-1.602417,1.0288973,0.4459738,0.52986425,0.7725,0.8325,4.1572633,4.8993697,False,18 vs 08,18,08
AP001207.3,0.5438,0.45620000000000005,0.17565021881698584,0.00014241488,0.00013605574,0.0,0.25,0.06920868,0.07469082,0.4083002,-1.4065847,1.7014389,0.16602334,0.1665638,0.41,0.43,1.5807838,1.559668,False,18 vs 08,18,08
NSMCE3,0.5434,0.4566,0.17403795939819489,0.0001430791,0.00014618918,0.0,0.25,-0.028919348,-0.031100273,0.43523476,-1.5315113,1.6377058,0.16893803,0.1713032,0.445,0.44,1.6011031,1.574811,False,18 vs 08,18,08
NEMF,0.5434,0.4566,0.17403795939819489,0.00047554617,0.00045358358,0.0,0.25,0.06962976,0.061354637,0.40427035,-1.3887186,1.5670004,0.51008815,0.48797324,0.8125,0.8075,4.7062926,4.4584837,False,18 vs 08,18,08
PASD1,0.5432,0.4568,0.1732319144206932,0.00015204669,0.00014739917,0.0,0.25,0.056002807,0.06827879,0.40897298,-1.3204374,1.3901415,0.17636116,0.17732023,0.45,0.4475,1.632146,1.6431509,False,18 vs 08,18,08
TAP2,0.5428,0.45720000000000005,0.1716199925907843,0.00012898134,0.00012967057,0.0,0.25,-0.010067142,-0.017933846,0.42856002,-1.3572912,1.5530539,0.15400621,0.122241095,0.41,0.345,1.4269747,1.1154704,False,18 vs 08,18,08
CD47,0.5426,0.45740000000000003,0.17081411520323098,0.0005563755,0.00058787846,0.0,0.25,-0.07811747,-0.08143711,0.4238302,-1.6548405,1.5385475,0.6030282,0.69711775,0.88,0.8975,5.6997857,6.534559,False,18 vs 08,18,08
RAB11FIP1,0.5414,0.4586,0.16598000342153352,0.0007775891,0.00083476515,0.0,0.25,-0.104176514,-0.10530567,0.39809695,-1.5751657,1.2771177,0.88107073,1.0407903,0.925,0.9525,8.119762,9.547116,False,18 vs 08,18,08
PPM1A,0.5412,0.4588,0.16517450772288556,0.00048603653,0.00048439318,0.0,0.25,0.0025199044,-0.0013136864,0.39911175,-1.273303,1.242095,0.4895778,0.50837106,0.795,0.8275,4.515645,4.635437,False,18 vs 08,18,08
CRELD1,0.5406,0.45940000000000003,0.1627583403177918,0.00017609072,0.00017070523,0.0,0.25,0.05579947,0.04301548,0.41869935,-1.6786432,1.5572252,0.11930804,0.13769032,0.3375,0.3825,1.1237919,1.2692082,False,18 vs 08,18,08
OLFML3,0.5406,0.45940000000000003,0.1627583403177918,0.0005377816,0.00055350875,0.0,0.25,-0.046152562,-0.039595604,0.39743578,-1.326623,1.5252047,0.562428,0.5604051,0.8,0.7675,5.277364,5.2083106,False,18 vs 08,18,08
BAIAP2,0.54,0.45999999999999996,0.16034264685456778,0.0010163795,0.00092541915,0.0,0.25,0.12765612,0.1416049,0.37826264,-1.6608133,1.3984356,1.0719053,1.037773,0.9875,0.98,10.1657915,9.7529335,False,18 vs 08,18,08
TAF9B,0.5388,0.46120000000000005,0.15551265301850015,0.00029667467,0.00030173743,0.0,0.25,-0.017747926,-0.030970097,0.4514262,-1.5354681,1.8558292,0.37101567,0.4082693,0.725,0.745,3.474237,3.7385855,False,18 vs 08,18,08
ZNF587,0.5386,0.46140000000000003,0.15470783153133094,0.00011718802,0.00011415806,0.0,0.25,0.04774974,0.042090416,0.43026692,-1.4980001,1.8610983,0.19419359,0.17122635,0.4925,0.46,1.7852634,1.5536298,False,18 vs 08,18,08
MAP2K1,0.5384,0.4616,0.15390306004640142,0.00049711054,0.0004550013,0.0,0.25,0.13126262,0.1191473,0.39712673,-1.10003,1.5647516,0.5384236,0.45217067,0.8325,0.7775,5.0032988,4.144802,False,18 vs 08,18,08
