,0
1034,MIR205HG
1035,AC018557.1
1036,ABLIM3
1037,C5orf38
1038,UGDH
1039,AC100835.2
1040,CCNB2
1041,LINC01918
1042,SECTM1
1043,GPSM2
1044,AC090616.7
1045,FGFBP2
1046,WDR60
1047,PHLDA1
1048,WNT4
1049,MCM10
1050,MAGEC2
1051,LINC00865
1052,RBBP8NL
1053,MEIOC
1054,LBR
1055,EPHB6
1056,AL138999.1
1057,INSL4
1058,STAT5B
1059,IRF5
1060,AASS
1061,MCM3
1062,GJC1
1063,SBNO1
1064,RAB29
1065,FOXP1
1066,AC008870.2
1067,ARHGDIB
1068,ZBTB44
1069,CHRNA3
1070,YTHDF1
1071,PTPRU
1072,AC098818.1
1073,PARD6B
1074,GINS1
1075,BCL2
1076,BEST1
1077,AC126389.1
1078,HNRNPA1P16
1079,AP003068.4
1080,RNU6-813P
1081,ACTA2
1082,IGSF10
1083,PATJ
1084,ZBTB5
1085,TRIM63
1086,ZBTB7B
1087,AC087500.1
1088,AL583856.2
1089,IRX2
1090,AL669831.4
1091,ADD3
1092,TAOK3
1093,GLCCI1
1094,SGK3
1095,ANLN
1096,HLA-A
1097,RRM2
1098,PXDN
1099,AL121895.2
1100,GHRH
1101,METTL7A
1102,CDH3
1103,HBA1
1104,TRIM4
1105,TOB1-AS1
1106,UNC5B
1107,CLSTN2
1108,TRAF5
1109,AC073094.1
1110,FST
1111,CERS6
1112,SNX30
1113,TRNP1
1114,KRT8P3
1115,STC2
1116,LAMA3
1117,NR2F1
1118,AC113410.3
1119,HSPB11
1120,SNCG
1121,NEK2
1122,P2RY10
1123,AL391684.1
1124,AP000238.1
1125,TM7SF2
1126,MAN1A1
1127,ZIC2
1128,MT-ATP6
1129,ANXA1
1130,DONSON
1131,RDH5
1132,HUS1B
1133,KRT80
1134,FOSL2
1135,GJA1
1136,BCL3
1137,WNK1
1138,RBP2
1139,MYO15B
1140,AC091825.1
1141,HPCAL1
1142,CSRNP1
1143,AL731566.2
1144,SERPINA11
1145,DCP2
1146,KIF18B
1147,SLC24A3
1148,AC124944.3
1149,HPX
1150,GEM
1151,SCRG1
1152,NDUFA12
1153,KIF23
1154,SERPINA6
1155,ASNS
1156,SAT1
1157,TP53AIP1
1158,RIMS1
1159,CDYL2
1160,CLU
1161,CORO2A
1162,AL355297.3
1163,CCNF
1164,AP001160.4
1165,PCLAF
1166,GPR137C
1167,AL355388.2
1168,AQP3
1169,IL6R
1170,RAD21
1171,GPD1
1172,IL32
1173,ANXA6
1174,AC104532.2
1175,AL136164.4
1176,DUSP14
1177,FERMT2
1178,PAGE1
1179,SOX4
1180,LIMA1
1181,SMO
1182,BCHE
1183,AL390726.6
1184,HIST1H4K
1185,JAG1
1186,F3
1187,BRD7P4
1188,CNN3
1189,ARHGEF37
1190,LIFR
1191,MPP7
1192,CCR7
1193,AL451060.1
1194,CYP4Z1
1195,MSX2
1196,AC010834.2
1197,L1CAM
1198,AC009108.3
1199,DIO2
1200,CCNE1
1201,KLHL24
1202,N4BP2L1
1203,AC026254.4
1204,TEX12
1205,ZNF502
1206,DPYD
1207,THSD4
1208,ELF5
1209,FRMD3
1210,LINC00963
1211,C3orf35
1212,AC131009.1
1213,CDC25B
1214,DOC2GP
1215,PGR
1216,RC3H2
1217,BCL6
1218,IFITM3
1219,MT-CYB
1220,MXD3
1221,KIFC1
1222,PDE8B
1223,TRIL
1224,GRHL2
1225,FAM212A
1226,MEAF6
1227,AL590235.1
1228,UGCG
1229,MYH11
1230,NUDT3
1231,AL117329.1
1232,GAL3ST1
1233,SLC3A2
1234,ELFN1-AS1
1235,DDIT4
1236,LYZ
1237,HERC6
1238,PLK1
1239,NEB
1240,KRT222
1241,FAM43A
1242,HSPH1
1243,AC011466.4
1244,ATP1A4
1245,FMN1
1246,NAA11
1247,ALB
1248,PCP4
1249,NPHP3
1250,EIF2AK2
1251,RANBP3L
1252,KRTAP3-3
1253,TNS4
1254,SIX1
1255,GADD45B
1256,SMTN
1257,TRIB1
1258,AC234781.1
1259,IVL
1260,MYO7A
1261,PIP
1262,ATP2B1
1263,KLF15
1264,MSMB
1265,RASA3
1266,CD52
1267,AC087501.5
1268,SMAD9
1269,FZD8
1270,AC015818.3
1271,KLF1
1272,GPNMB
1273,RND3
1274,CLDN8
1275,CXCL2
1276,AC068946.1
1277,DPY19L1
1278,AC024884.2
1279,AC006064.4
1280,AC015813.4
1281,ZNF812P
1282,FOXD4
1283,FOXM1
1284,ZNF165
1285,PDGFC
1286,CDH1
1287,PNRC1
1288,TMEM269
1289,RPL36AP21
1290,HSPB1
1291,NUCKS1
1292,HDAC9
1293,SMG1P2
1294,SRGAP1
1295,ZBTB16
1296,PCDH7
1297,AC010285.1
1298,PLEKHF1
1299,ST3GAL1
1300,KRT23
1301,AC016866.1
1302,AC032011.1
1303,CD82
1304,DSCR4
1305,SLC2A1
1306,FOXA1
1307,ZBTB14
1308,MIR4307HG
1309,HIST1H4C
1310,AP003721.1
1311,CEACAM16
1312,LINC01351
1313,MTDH
1314,PPP1R1A
1315,AC060766.4
1316,AL691432.2
1317,AC005674.2
1318,NFIA
1319,MAGEA11
1320,KIF2C
1321,TOR1AIP2
1322,STC1
1323,LINC00886
1324,FBLIM1
1325,ZFP36
1326,KNL1
1327,CDC6
1328,IGFBP4
1329,AC007879.3
1330,USP27X-AS1
1331,ZFAND5
1332,DDX21
1333,AC019294.3
1334,HIST1H2AC
1335,PLA2G4A
1336,TPM4
1337,HP1BP3
1338,AL512656.1
1339,DKK1
1340,AC002044.2
1341,AC027796.1
1342,AL121761.2
1343,HELLS
1344,TDRD9
1345,PHLDA2
1346,BNIP3
1347,FARP1
1348,KLF4
1349,AP001999.1
1350,AC006538.1
1351,KYNU
1352,KLF9
1353,ATXN1
1354,HLA-B
1355,PRRG4
1356,AL606760.2
1357,CDC20
1358,AC092919.2
1359,PSME4
1360,ACTL8
1361,FAM84B
1362,BRCA1
1363,AL355490.1
1364,SLC39A14
1365,SLC38A8
1366,ZNF689
1367,L29074.1
1368,NBL1
1369,ECT2
1370,VGLL1
1371,PNLIP
1372,AL117339.5
1373,DEK
1374,SND1-IT1
1375,TGFBR3
1376,S100A11
1377,LINC01980
1378,MTSS1
1379,KIAA0907
1380,CMYA5
1381,STARD13
1382,MUC1
1383,IL17D
1384,SSX1
1385,VSIG10L
1386,ATP7B
1387,AL662800.1
1388,SCUBE2
1389,ZDHHC8P1
1390,AC003072.1
1391,SPTSSB
1392,ENC1
1393,MFHAS1
1394,CALD1
1395,AL157888.1
1396,MT-ND4L
1397,FOXO6
1398,SPACA6
1399,NES
1400,RETREG1
1401,AP000911.1
1402,ZNF493
1403,ERVMER34-1
1404,BANK1
1405,AC008158.1
1406,LPIN1
1407,SNAI3
1408,PTGS1
1409,MCM4
1410,TMEM63C
1411,RCL1
1412,CD44
1413,IRF2BPL
1414,TRPV1
1415,PHKG1
1416,AL512488.1
1417,KCNH1
1418,SGO1
1419,AOC1
1420,C6orf141
1421,AC239803.3
1422,SAP30L-AS1
1423,SERPINB5
1424,SELENOP
1425,MAOA
1426,PPP3CA
1427,PSMB3
1428,RPL12P25
1429,LINC02021
1430,LMNB1
1431,AGRN
1432,SLC40A1
1433,PCED1B
1434,KCNK1
1435,CCDC194
1436,MT-ND4
1437,TUBA1C
1438,KCNJ14
1439,HSPA1A
1440,LINC00637
1441,RBM14-RBM4
1442,PDZK1
1443,FZD2
1444,RNF144B
1445,NCAM2
1446,CPD
1447,AC023090.2
1448,CXCL12
1449,ZDHHC11
1450,C8orf34
1451,PLSCR1
1452,FGFR3
1453,SOD2
1454,TNFAIP3
1455,BMPER
1456,ERBB4
1457,FAM20C
1458,AC009908.1
1459,MDK
1460,MED13L
1461,WFDC2
1462,MZB1
1463,KCNMA1
1464,MYO1B
1465,GTSE1
1466,LGALS8-AS1
1467,MYADM
1468,AL161908.1
1469,AL121929.2
1470,GLUL
1471,KLF6
1472,KCNK2
1473,AL109954.2
1474,CHD5
1475,HSP90AA1
1476,AP000662.2
1477,AURKB
1478,NCAPG
1479,GATAD1
1480,TSPAN4
1481,AL135818.1
1482,MASP2
1483,TMPO
1484,ZNF385A
1485,TP53I3
1486,GLA
1487,UXT-AS1
1488,SOAT1
1489,RASL11B
1490,SYNE1
1491,BMF
1492,C21orf58
1493,GAL
1494,FAM107B
1495,LINC01029
1496,TROAP
1497,SH2B2
1498,CCNA2
1499,ASS1
1500,DNAAF1
1501,DOK7
1502,TFCP2L1
1503,STEAP2
1504,SEPT12
1505,ZNF710
1506,AC244034.2
1507,HS3ST3B1
1508,TRIB3
1509,RHOBTB1
1510,NXPE3
1511,S100A8
1512,CD55
1513,ABCC13
1514,CAP2
1515,U62317.4
1516,AP002001.2
1517,AC091925.1
1518,CITED1
1519,AC055854.1
1520,CDNF
1521,C9orf139
1522,Z99129.3
1523,KRT13
1524,IFIT5
1525,AZGP1
1526,TUBBP2
1527,HES1
1528,CYP27B1
1529,LEF1
1530,SUZ12
1531,BCORL1
1532,AC116407.4
1533,MELK
1534,STOM
1535,SLC16A6
1536,TTC3
1537,NCKAP5L
1538,DDX43
1539,IRF9
1540,KCNJ11
1541,MIF
1542,TMTC2
